PlateNumber,Colour,BuildType,MakeModel,YearOfManufacture,VehicleType,StolenDate,PoliceDistrict
101Y2,Silver,Factory Built,TRAILUX TRAILER,2021,Trailer,20/10/2025,Wellington
101Y2,Silver,Factory Built,TRAILUX TRAILER,2021,Trailer,20/10/2025,Wellington
106Z5,Silver,Trailer,JETSKI,2021,Boat Trailer,9/09/2025,Auckland City
109A1,Silver,Trailer,ALLROAD,2021,Trailer,7/11/2025,Wellington
10A78,Silver,Trailer,7X4 CONTRACTOR,2018,Trailer,24/09/2025,Auckland City
10B50,Cream,Pioneer,CARAVAN,1978,Caravan,10/09/2025,Canterbury
113S2,Silver,Factory Built,CONCEPT TRAILERS,2019,Trailer,21/07/2025,Waikato
114J1,White,Ambassador,ACE JUBILEE,2003,Caravan,6/11/2025,Central
11G66,Grey,Trailer,TRAYLA 8X4,2018,Trailer,29/07/2025,Auckland City
124J5,Orange,Trailer,OPTRAFFIC,2021,Trailer,30/09/2025,Waikato
124W6,Silver,Homebuilt,TANDEM,2021,Trailer,27/10/2025,Wellington
129Z4,Grey,Trailer,JETSKI ACTION LAB,2021,Boat Trailer,12/09/2025,Waitemata
132A3,Silver,Trailer,TUFF,2021,Trailer,25/10/2025,Central
132U9,Silver,Trailer,X-TRAILER,2021,Trailer,1/12/2025,Auckland City
137D9,Silver,Aakron Xpress,GOODS TRAILER,2021,Trailer,3/09/2025,Auckland City
139W1,Black,Trailer,CAR TRANSPORTER,2021,Trailer,8/11/2025,Southern
13F24,Grey,Trailer,LOCAL BUILT,2018,Trailer,2/12/2025,Tasman
13H49,Silver,Trailer,TUFF,2018,Trailer,26/10/2025,Auckland City
13K83,Grey,Kea,TRAILER,2008,Trailer,28/11/2025,Counties/Manukau
13R49,Silver,Trailer,PRESCOTT,2018,Trailer - Heavy,19/07/2025,Eastern
13Z20,Grey,Homebuilt,BG18A,1990,Boat Trailer,17/09/2025,Counties/Manukau
13ZQP,Blue,Honda,CBR,2003,Roadbike,7/11/2025,Central
142Q6,Silver,Factory Built,CONCEPT TRAILER,2021,Trailer,21/07/2025,Waikato
146K8,Silver,Trailer,HOME BUILT,2021,Trailer,6/11/2025,Central
148P3,Silver,Trailer,CAGE TRAILER 7X4,2021,Trailer,8/11/2025,Auckland City
148Z6,White,Trailer,PRESCOTT,2021,Trailer - Heavy,16/10/2025,Bay of Plenty
14U19,Silver,Lochiel,4X2 PLATFORM,2018,Trailer,11/11/2025,Southern
14ZPR,Blue,Yamaha,CV50,2008,Moped,22/11/2025,Eastern
152F4,Silver,Trailer,ALLROAD,2021,Trailer,18/08/2025,Central
1530N,Silver,Reid,TRAILER,1999,Trailer - Heavy,16/09/2025,Waitemata
155Y6,White,Caravan,OXFORD,1975,Caravan,26/11/2025,Northland
159000,Silver,Trailer,M J TANDEM AXLE,2021,Trailer,7/07/2025,Canterbury
15QOZ,White,Ducati,PASO,1988,Roadbike,22/09/2025,Eastern
15WED,Yellow,Honda,NVS,2002,Moped,23/06/2025,Central
160A3,Silver,Trailer,TRAILER,2021,Trailer,7/11/2025,Wellington
165R1,Silver,Trailer,8X4,2021,Trailer,30/06/2025,Waikato
167N7,Green,Trailer,WOODSPLITTER,2021,Trailer,6/11/2025,Central
168M6,Black,Trailer,HOMEBULT,2021,Trailer,28/10/2025,Central
168W6,White,Supreme,CLASSIC TOURER 176,2020,Caravan,10/09/2025,Bay of Plenty
16J74,Silver,Voyager,A17HD,2018,Boat Trailer,11/06/2025,Northland
16N99,Grey,Trailer,ROAD CHIEF,2018,Trailer,11/06/2025,Bay of Plenty
16W30,Grey,Trailer,TAZ TRANSPORT,2018,Trailer,29/09/2025,Northland
177M1,Silver,Trailer,BST2021D,2021,Trailer,27/09/2025,Counties/Manukau
177T2,Silver,Trailer,BEST TRAILER LIMITED,2021,Trailer,28/06/2025,Waitemata
17TDM,Blue,Trailer,MAYNE,1982,Trailer,19/06/2025,Southern
17YMM,Black,Vespa,GTS,2006,Roadbike,21/11/2025,Wellington
